name,labels
UnitID,UnitID
instnm,instnm
UPGRNTP (SFA1213),Percent of undergraduate students receiving Pell grants (SFA1213)
UPGRNTA (SFA1213),Average amount Pell grant aid received by undergraduate students (SFA1213)
UFLOANP (SFA1213),Percent of undergraduate students receiving Federal student loans (SFA1213)
UFLOANA (SFA1213),Average amount of Federal student loan aid received by undergraduate students (SFA1213)
NPIST2 (SFA1213),Average net price-students receiving grant or scholarship aid  2012-13 (SFA1213)
NPGRN2 (SFA1213),Average net price-students receiving grant or scholarship aid  2012-13 (SFA1213)
BAGR100 (GR200_13),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_13)
BAGR150 (GR200_13),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_13)
BAGR200 (GR200_13),8-year Graduation rate - bachelor's degree within 200% of normal time (GR200_13)
L4GR100 (GR200_13),Graduation rate - degree/certificate within 100% of normal time (GR200_13)
L4GR150 (GR200_13),Graduation rate - degree/certificate within 150% of normal time (GR200_13)
L4GR200 (GR200_13),Graduation rate - degree/certificate within 200% of normal time (GR200_13)
DVIC01 (DRVIC2013_RV),Percent admitted - total (DRVIC2013_RV)
RMINSTTN (DRVEF2014),Number of first-time undergraduates - in-state (DRVEF2014)
RMOUSTTN (DRVEF2014),Number of first-time undergraduates - out-of-state (DRVEF2014)
RMFRGNCN (DRVEF2014),Number of first-time undergraduates - foreign countries (DRVEF2014)
RMUNKNWN (DRVEF2014),Number of first-time undergraduates - residence unknown (DRVEF2014)
RMINSTTN (DRVEF2013),Number of first-time undergraduates - in-state (DRVEF2013)
RMOUSTTN (DRVEF2013),Number of first-time undergraduates - out-of-state (DRVEF2013)
RMFRGNCN (DRVEF2013),Number of first-time undergraduates - foreign countries (DRVEF2013)
RMUNKNWN (DRVEF2013),Number of first-time undergraduates - residence unknown (DRVEF2013)
chg1ay3 (IC2014_AY),Published in-district tuition and fees 2014-15 (IC2014_AY)
chg2ay3 (IC2014_AY),Published in-state tuition and fees 2014-15 (IC2014_AY)
chg3ay3 (IC2014_AY),Published out-of-state tuition and fees 2014-15 (IC2014_AY)
chg4ay3 (IC2014_AY),Books and supplies 2014-15 (IC2014_AY)
chg5ay3 (IC2014_AY),On campus  room and board 2014-15 (IC2014_AY)
chg6ay3 (IC2014_AY),On campus  other expenses 2014-15 (IC2014_AY)
chg7ay3 (IC2014_AY),Off campus (not with family)  room and board 2014-15 (IC2014_AY)
chg8ay3 (IC2014_AY),Off campus (not with family)  other expenses 2014-15 (IC2014_AY)
chg9ay3 (IC2014_AY),Off campus (with family)  other expenses 2014-15 (IC2014_AY)
chg1at2 (IC2014_AY),Published in-district tuition 2013-14 (IC2014_AY)
chg1af2 (IC2014_AY),Published in-district fees 2013-14 (IC2014_AY)
chg2at3 (IC2014_AY),Published in-state tuition 2014-15 (IC2014_AY)
chg2af3 (IC2014_AY),Published in-state fees 2014-15 (IC2014_AY)
chg3at3 (IC2014_AY),Published out-of-state tuition 2014-15 (IC2014_AY)
chg3af3 (IC2014_AY),Published out-of-state fees 2014-15 (IC2014_AY)
chg1ay3 (IC2013_AY),Published in-district tuition and fees 2013-14 (IC2013_AY)
chg2ay3 (IC2013_AY),Published in-state tuition and fees 2013-14 (IC2013_AY)
chg3ay3 (IC2013_AY),Published out-of-state tuition and fees 2013-14 (IC2013_AY)
chg4ay3 (IC2013_AY),Books and supplies 2013-14 (IC2013_AY)
chg5ay3 (IC2013_AY),On campus  room and board 2013-14 (IC2013_AY)
chg6ay3 (IC2013_AY),On campus  other expenses 2013-14 (IC2013_AY)
chg7ay3 (IC2013_AY),Off campus (not with family)  room and board 2013-14 (IC2013_AY)
chg8ay3 (IC2013_AY),Off campus (not with family)  other expenses 2013-14 (IC2013_AY)
chg9ay3 (IC2013_AY),Off campus (with family)  other expenses 2013-14 (IC2013_AY)
chg1at2 (IC2013_AY),Published in-district tuition 2012-13 (IC2013_AY)
chg1af2 (IC2013_AY),Published in-district fees 2012-13 (IC2013_AY)
chg2at3 (IC2013_AY),Published in-state tuition 2013-14 (IC2013_AY)
chg2af3 (IC2013_AY),Published in-state fees 2013-14 (IC2013_AY)
chg3at3 (IC2013_AY),Published out-of-state tuition 2013-14 (IC2013_AY)
chg3af3 (IC2013_AY),Published out-of-state fees 2013-14 (IC2013_AY)
ROOMAMT (IC2014),Typical room charge for academic year (IC2014)
BOARDAMT (IC2014),Typical board charge for academic year (IC2014)
ROOMAMT (IC2013),Typical room charge for academic year (IC2013)
BOARDAMT (IC2013),Typical board charge for academic year (IC2013)
