United States,7.25
New Mexico,7.50
Missouri,7.85
Delaware,8.25
Florida,8.25
Illinois,8.25
Nevada,8.25
Montana,8.30
Ohio,8.30
Arkansas,8.50
New Jersey,8.60
West Virginia,8.75
South Dakota,8.85
Nebraska,9.00
Maryland,9.25
Michigan,9.25
Minnesota,9.65
Alaska,9.84
Maine,10.00
Connecticut,10.10
Hawaii,10.10
Rhode Island,10.10
Colorado,10.20
Oregon,10.25
New York,10.40
Arizona,10.50
Vermont,10.50
California,11.00
Massachusetts,11.00
Washington,11.50
District of Columbia,12.50
