,,Student resources,Student budget
Expected contribution,Public four-year out-of-state,3570,0
Federal grant aid,Public four-year out-of-state,2750,0
Military and veterans grants aid,Public four-year out-of-state,3870,0
State grant aid,Public four-year out-of-state,0,0
Institutional grant aid,Public four-year out-of-state,3840,0
Private and employer grant aid,Public four-year out-of-state,1950,0
Federal student loans,Public four-year out-of-state,5960,0
Federal parent loans,Public four-year out-of-state,0,0
Private loans,Public four-year out-of-state,610,0
Earnings and other resources,Public four-year out-of-state,11740,0
Tuition and fees,Public four-year out-of-state,0,18270
Budget beyond tuiiton and fees,Public four-year out-of-state,0,16020
Expected contribution,Public four-year in-state ,2280,0
Federal grant aid,Public four-year in-state ,3380,0
Military and veterans grants aid,Public four-year in-state ,1570,0
State grant aid,Public four-year in-state ,1220,0
Institutional grant aid,Public four-year in-state ,1250,0
Private and employer grant aid,Public four-year in-state ,680,0
Federal student loans,Public four-year in-state ,6050,0
Federal parent loans,Public four-year in-state ,0,0
Private loans,Public four-year in-state ,420,0
Earnings and other resources,Public four-year in-state ,8350,0
Tuition and fees,Public four-year in-state ,0,9370
Budget beyond tuiiton and fees,Public four-year in-state ,0,15830
Expected contribution,Public two-year,2950,0
Federal grant aid,Public two-year,3130,0
Military and veterans grants aid,Public two-year,1550,0
State grant aid,Public two-year,580,0
Institutional grant aid,Public two-year,230,0
Private and employer grant aid,Public two-year,250,0
Federal student loans,Public two-year,1910,0
Federal parent loans,Public two-year,0,0
Private loans,Public two-year,70,0
Earnings and other resources,Public two-year,7300,0
Tuition and fees,Public two-year,0,3740
Budget beyond tuiiton and fees,Public two-year,0,14230
Expected contribution,Private nonprofit four-year,3570,0
Federal grant aid,Private nonprofit four-year,2860,0
Military and veterans grants aid,Private nonprofit four-year,2210,0
State grant aid,Private nonprofit four-year,750,0
Institutional grant aid,Private nonprofit four-year,5070,0
Private and employer grant aid,Private nonprofit four-year,1000,0
Federal student loans,Private nonprofit four-year,6020,0
Federal parent loans,Private nonprofit four-year,0,0
Private loans,Private nonprofit four-year,950,0
Earnings and other resources,Private nonprofit four-year,14760,0
Tuition and fees,Private nonprofit four-year,0,22120
Budget beyond tuiiton and fees,Private nonprofit four-year,0,15070
Expected contribution,For-profit,2850,0
Federal grant aid,For-profit,3630,0
Military and veterans grants aid,For-profit,3500,0
State grant aid,For-profit,290,0
Institutional grant aid,For-profit,910,0
Private and employer grant aid,For-profit,490,0
Federal student loans,For-profit,8060,0
Federal parent loans,For-profit,0,0
Private loans,For-profit,970,0
Earnings and other resources,For-profit,12330,0
Tuition and fees,For-profit,0,17280
Budget beyond tuiiton and fees,For-profit,0,15750
