,Private nonprofit four-year,Public four-year
1971,6600,5880
1972,6660,6140
1973,6490,5980
1974,6380,5620
1975,6280,5580
1976,6190,5650
1977,6180,5550
1978,6160,5430
1979,5990,5330
1980,5850,5170
1981,5930,5240
1982,6240,5430
1983,6530,5600
1984,6810,5770
1985,6310,5770
1986,7140,5890
1987,7330,5840
1988,7560,5940
1989,7660,5940
1990,7770,5940
1991,7870,6010
1992,7980,6090
1993,8120,6230
1994,7880,6460
1995,8290,6310
1996,8360,6500
1997,8510,6650
1998,8630,6780
1999,8740,6920
2000,8730,6980
2001,8940,7270
2002,9250,7580
2003,9460,7840
2004,9590,8080
2005,9730,8300
2006,9850,8460
2007,10080,8650
2008,9990,8650
2009,10600,9280
2010,10890,9590
2011,10930,9620
2012,11180,9800
2013,11350,9950
2014,11470,10050
2015,11830,10400
2016,12050,10660
2017,12210,10800
