,Maximum Pell grant,Average Pell grant
'77‒'78,5620,3040
'78‒'79,5960,3030
'79‒'80,6030,3110
'80‒'81,5180,2610
'81‒'82,4460,2270
'82‒'83,4520,2410
'83‒'84,4410,2480
'84‒'85,4470,2610
'85‒'86,4770,2900
'86‒'87,4690,2910
'87‒'88,4520,2800
'88‒'89,4540,2890
'89‒'90,4530,2830
'90‒'91,4320,2720
'91‒'92,4310,2750
'92‒'93,4180,2690
'93‒'94,3900,2550
'94‒'95,3790,2480
'95‒'96,3760,2430
'96‒'97,3850,2460
'97‒'98,4120,2590
'98‒'99,4500,2810
'99‒'00,4590,2810
'00‒'01,4670,2890
'01‒'02,5170,3170
'02‒'03,5440,3310
'03‒'04,5390,3290
'04‒'05,5230,3200
'05‒'06,5070,3080
'06‒'07,4870,2990
'07‒'08,5060,3110
'08‒'09,5260,3310
'09‒'10,6080,4210
'10‒'11,6230,4300
'11‒'12,6010,3850
'12‒'13,5930,3820
'13‒'14,5920,3810
'14‒'15,5890,3780
'15‒'16,5920,3820
'16‒'17,5920,3800
'17‒'18,5920,4010
