year,age,25th percentile,Median,75th percentile
1990,Ages 18–23,15941.23948,22505.27927,29069.31905
1991,Ages 18–23,16197.35683,22496.32893,29695.15419
1992,Ages 18–23,17471.13329,21155.7953,28827.36992
1993,Ages 18–23,15606.25606,21170.22561,28837.64706
1994,Ages 18–23,16539.81107,21501.75439,28117.67881
1995,Ages 18–23,16083.9895,20909.18635,27342.78215
1996,Ages 18–23,15622.68961,19528.36201,26558.57234
1997,Ages 18–23,15272.27414,19853.95639,25962.86604
1998,Ages 18–23,15672.64196,21895.3816,28151.20491
1999,Ages 18–23,17067.17887,22069.62785,30014.69388
2000,Ages 18–23,14274.46783,22205.99303,28469.22184
2001,Ages 18–23,16608.92151,21868.41333,27681.53586
2002,Ages 18–23,16350.4169,22672.5781,29501.60222
2003,Ages 18–23,17318.26087,23979.13043,30480.13913
2004,Ages 18–23,16869.03123,23357.12017,29845.20911
2005,Ages 18–23,16316.23144,21336.61034,27612.08397
2006,Ages 18–23,15320,21885.71429,27965.07937
2007,Ages 18–23,16550.81942,21279.62497,28372.83329
2008,Ages 18–23,15938.83968,22769.77097,28462.21372
2009,Ages 18–23,17138.30248,22851.06998,29477.88027
2010,Ages 18–23,16861.72359,22482.29813,28102.87266
2011,Ages 18–23,14493.24484,20399.51454,25063.50611
2012,Ages 18–23,16014.35578,21352.47437,26690.59296
2013,Ages 18–23,15783.17028,21044.22705,26305.28381
2014,Ages 18–23,15531.22466,20708.29954,26920.7894
2015,Ages 18–23,15512.81132,20683.74842,25854.68553
2016,Ages 18–23,15319.55318,22468.678,29617.80281
2017,Ages 18–23,17000,20000,28000
1990,Ages 24–34,22505.27927,29256.86305,38258.97475
1991,Ages 24–34,21596.47577,28795.30103,37793.8326
1992,Ages 24–34,21748.06671,29700.92659,38436.49323
1993,Ages 24–34,21875.89979,29007.28028,40203.07266
1994,Ages 24–34,20840.16194,29771.65992,38041.56545
1995,Ages 24–34,20909.18635,28146.98163,38601.5748
1996,Ages 24–34,19997.0427,26558.57234,35932.18611
1997,Ages 24–34,21207.07988,27490.09346,36653.45794
1998,Ages 24–34,21654.77301,28572.26994,37595.09202
1999,Ages 24–34,21333.97359,29426.17047,38695.41417
2000,Ages 24–34,20782.53194,28469.22184,37009.98839
2001,Ages 24–34,20761.15189,29065.61265,38754.1502
2002,Ages 24–34,21868.6826,29975.76431,39513.5075
2003,Ages 24–34,22167.37391,30640,39965.21739
2004,Ages 24–34,20761.8846,29845.20911,38928.53362
2005,Ages 24–34,21336.61034,29369.21659,37652.84178
2006,Ages 24–34,20669.84127,29180.95238,36476.19048
2007,Ages 24–34,20097.42358,28372.83329,37830.44439
2008,Ages 24–34,20492.79388,27323.72517,35862.38928
2009,Ages 24–34,20565.96298,28563.83747,37316.93983
2010,Ages 24–34,20234.06831,28102.87266,37410.54408
2011,Ages 24–34,20486.69195,27242.94142,37050.40033
2012,Ages 24–34,19857.80116,27224.40482,36299.20643
2013,Ages 24–34,18939.80434,26305.28381,36827.39733
2014,Ages 24–34,20708.29954,25885.37443,36239.5242
2015,Ages 24–34,20683.74842,25854.68553,35162.37232
2016,Ages 24–34,20426.07091,27575.19572,35745.62409
2017,Ages 24–34,20000,28000,37500
