,,Four years,Five years ,Six years
Tuition and Fees,Public four-year in-state,40204.65547,51020.79513,62161.41899
Debt,Public four-year in-state,19240,24050,28860
Tuition and Fees,Public four-year out-of-state,83505.19492,105970.3508,129109.4613
Debt,Public four-year out-of-state,37680,47100,56520
Tuition and Fees,Private nonprofit four-year,128772.0391,163415.2002,199097.6562
Debt,Private nonprofit four-year,34600,43250,51900
Tuition and Fees,For-profit,85638.84469,108678.01,132408.3503
Debt,For-profit,41880,52350,62820
Tuition and Fees,Public two-year,15939.61887,20227.80744,24644.64166
Debt,Public two-year,3120,3900,4680
