,State minimum wage
United States,7.25
New Mexico,7.50
Illinois,8.25
Nevada,8.25
Florida,8.46
Montana,8.50
Ohio,8.55
Missouri,8.60
Delaware,8.75
West Virginia,8.75
New Jersey,8.85
Nebraska,9.00
South Dakota,9.10
Arkansas,9.25
Michigan,9.45
Minnesota,9.86
Alaska,9.89
Connecticut,10.10
Hawaii,10.10
Maryland,10.10
Rhode Island,10.50
Oregon,10.75
Vermont,10.78
Arizona,11.00
California,11.00
Maine,11.00
Colorado,11.10
New York,11.10
Massachusetts,12.00
Washington,12.00
District of Columbia,13.25
