year,age,25th percentile,Median,75th percentile
1990,Ages 18–23,18754.39939,26256.15914,35633.35884
1991,Ages 18–23,18716.94567,26455.68282,34194.41997
1992,Ages 18–23,19218.24661,25439.71718,34942.26657
1993,Ages 18–23,18659.65398,25444.9827,33926.6436
1994,Ages 18–23,17201.40351,24148.12416,32914.22402
1995,Ages 18–23,18014.06824,24125.98425,32167.979
1996,Ages 18–23,17263.07202,24371.39579,32495.19439
1997,Ages 18–23,18326.72897,24435.63863,33599.00312
1998,Ages 18–23,18045.64417,24060.8589,34587.48466
1999,Ages 18–23,20598.31933,27954.86194,36782.71309
2000,Ages 18–23,19928.45528,25622.29965,35586.52729
2001,Ages 18–23,20761.15189,27681.53586,35293.95822
2002,Ages 18–23,20438.02112,27250.69483,35425.90328
2003,Ages 18–23,19982.6087,26643.47826,37300.86957
2004,Ages 18–23,19464.26681,25952.35574,32693.48015
2005,Ages 18–23,18826.42089,26105.9703,35142.65233
2006,Ages 18–23,18238.09524,24317.46032,31612.69841
2007,Ages 18–23,18208.26576,23644.02774,33101.63884
2008,Ages 18–23,18215.81678,23908.25952,31877.67936
2009,Ages 18–23,18283.14109,27421.28397,34276.60497
2010,Ages 18–23,20234.06831,25854.64284,33723.44719
2011,Ages 18–23,16345.76485,22884.07079,30512.09439
2012,Ages 18–23,17054.22128,22420.09809,32028.71155
2013,Ages 18–23,16416.60152,23148.64975,31566.34057
2014,Ages 18–23,18413.81995,25772.51419,36239.5242
2015,Ages 18–23,19928.79161,25854.68553,36196.55974
2016,Ages 18–23,18383.46382,24511.28509,35745.62409
2017,Ages 18–23,19000,25000,33000
1990,Ages 24–34,29256.86305,39384.23871,54387.75822
1991,Ages 24–34,27139.57122,39143.61233,53991.18943
1992,Ages 24–34,27254.96793,38436.49323,52413.39986
1993,Ages 24–34,27141.31488,38829.0436,50889.9654
1994,Ages 24–34,26463.69771,36387.58435,49619.4332
1995,Ages 24–34,26538.58268,36993.17585,48251.9685
1996,Ages 24–34,25996.15551,37494.45507,49992.60676
1997,Ages 24–34,27490.09346,38180.68536,50398.50467
1998,Ages 24–34,28215.86847,38366.54331,52633.12883
1999,Ages 24–34,29073.05642,39136.80672,51495.79832
2000,Ages 24–34,27757.49129,38433.44948,52596.88734
2001,Ages 24–34,27681.53586,38864.87634,52594.91813
2002,Ages 24–34,27250.69483,39241.00056,53138.85492
2003,Ages 24–34,26750.05217,38633.04348,53286.95652
2004,Ages 24–34,25952.35574,38928.53362,51904.71149
2005,Ages 24–34,25101.89452,37652.84178,50203.78904
2006,Ages 24–34,25292.59048,36476.19048,49850.79365
2007,Ages 24–34,27190.6319,35466.04161,50834.65964
2008,Ages 24–34,26048.61799,35293.14501,51231.98469
2009,Ages 24–34,26850.00722,36561.71197,51414.90745
2010,Ages 24–34,25854.64284,36241.46458,50585.17078
2011,Ages 24–34,25363.17846,35415.82385,49037.29456
2012,Ages 24–34,25622.96924,34163.95899,48043.06733
2013,Ages 24–34,25253.07246,33670.76327,48401.72221
2014,Ages 24–34,23814.54447,33133.27926,46593.67397
2015,Ages 24–34,24820.49811,34128.1849,48606.80879
2016,Ages 24–34,25532.58863,35745.62409,49022.57018
2017,Ages 24–34,25000,35000,49500
