,,Expected contribution,Federal grant aid,Military and veterans' grants aid,State grant aid,Institutional grant aid,Private and employer grant aid,Federal student loans,Federal parent loans,Private loans,Earnings and other resources,Tuition and fees,Budget beyond tuiton and fees
Student resources,Public four-year out-of-state,14230,170,750,80,6220,1770,3580,3100,1170,6510,0,0
Student budget,Public four-year out-of-state,0,0,0,0,0,0,0,0,0,0,22120,15460
Student resources,Public four-year in-state,13660,260,180,1030,2190,800,4070,1860,970,-460,0,0
Student budget,Public four-year in-state,0,0,0,0,0,0,0,0,0,0,10250,14310
Student resources,Public two-year,12020,270,50,550,790,540,1140,50,160,-490,0,0
Student budget,Public two-year,0,0,0,0,0,0,0,0,0,0,4040,11040
Student resources,Private nonprofit four-year,13670,330,250,830,18140,1520,4700,3870,2950,3390,0,0
Student budget,Private nonprofit four-year,0,0,0,0,0,0,0,0,0,0,34490,15160
Student resources,For-profit,12250,250,810,370,2730,850,6250,4480,2340,5080,0,0
Student budget,For-profit,0,0,0,0,0,0,0,0,0,0,21180,14230
