,,Expected contribution,Federal grant aid,Military and veterans' grants aid,State grant aid,Institutional grant aid,Private and employer grant aid,Federal student loans,Federal parent loans,Private loans,Earnings and other resources,Tuition and fees,Budget beyond tuiton and fees
Student resources,Public four-year out-of-state,3530,2930,630,380,6170,1980,4630,3540,2010,9580,0,0
Student budget,Public four-year out-of-state,0,0,0,0,0,0,0,0,0,0,19080,16300
Student resources,Public four-year in-state,3020,3150,160,2640,2160,880,4430,1020,560,6910,0,0
Student budget,Public four-year in-state,0,0,0,0,0,0,0,0,0,0,10040,14890
Student resources,Public two-year,2640,2690,80,760,470,350,760,70,120,7350,0,0
Student budget,Public two-year,0,0,0,0,0,0,0,0,0,0,3840,11450
Student resources,Private nonprofit four-year,3690,3580,110,1930,18310,1530,5420,2820,1560,9400,0,0
Student budget,Private nonprofit four-year,0,0,0,0,0,0,0,0,0,0,33710,14640
Student resources,For-profit,3090,2860,610,550,2220,500,6170,5930,1120,13250,0,0
Student budget,For-profit,0,0,0,0,0,0,0,0,0,0,20650,15650
