,type,Federal grants,Veterans and military grants,State grants,Institutional grants,Employer and private grants
Public four-year,"Less than $30,000",5500,100,2900,2300,900
Private nonprofit four-year,"Less than $30,000",6000,100,2000,16800,1600
Public two-year,"Less than $30,000",5000,0,900,300,300
For-profit,"Less than $30,000",5400,400,900,2000,600
Public four-year,"$30,000‒$64,999",3100,200,2400,2600,1000
Private nonprofit four-year,"$30,000‒$64,999",3600,100,1900,18300,1500
Public two-year,"$30,000‒$64,999",2700,100,800,500,300
For-profit,"$30,000‒$64,999",2900,600,600,2200,500
Public four-year,"$65,000‒$105,999",200,300,900,2700,900
Private nonprofit four-year,"$65,000‒$105,999",300,300,800,18100,1500
Public two-year,"$65,000‒$105,999",300,100,600,800,500
For-profit,"$65,000‒$105,999",200,800,400,2700,900
Public four-year,"$106,000‒$154,999",0,500,400,1900,1000
Private nonprofit four-year,"$106,000‒$154,999",0,500,300,15100,1600
Public two-year,"$106,000‒$154,999",0,100,400,900,500
For-profit,"$106,000‒$154,999",0,300,200,2500,200
Public four-year,"$155,000 or higher",0,100,300,2400,1000
Private nonprofit four-year,"$155,000 or higher",0,300,200,12900,1700
Public two-year,"$155,000 or higher",100,0,300,900,900
For-profit,"$155,000 or higher",0,0,0,1700,400
