,Average per borrower,Average per student
2001–02,6142.491436,1417.877311
2002–03,6208.308275,1498.382478
2003–04,6254.206797,1658.014314
2004–05,6215.332798,1722.401134
2005–06,6112.805752,1730.83564
2006–07,5899.023881,1671.937209
2007–08,6253.190887,1815.309178
2008–09,7423.187812,2286.541196
2009–10,7568.982338,2588.232256
2010–11,6974.557714,2566.678212
2011–12,6663.897424,2512.987832
2012–13,6671.678725,2454.952094
2013–14,6986.508629,2331.637211
2014–15,6751.426657,2175.53637
2015–16,6653.043076,2049.560503
2016–17,6590.120529,1928.811502
