,Private nonprofit four-year,Public four-year,Public two-year
71-72,0.00,0.00,0.00
72-73,0.04,0.13,0.17
73-74,0.03,0.09,0.31
74-75,-0.04,-0.02,0.21
75-76,-0.06,-0.06,-0.02
76-77,-0.01,0.03,0.05
77-78,-0.02,0.03,0.08
78-79,0.00,0.00,0.08
79-80,-0.02,-0.04,0.05
80-81,-0.03,-0.08,0.01
81-82,0.00,-0.06,0.00
82-83,0.06,0.00,0.03
83-84,0.13,0.09,0.14
84-85,0.19,0.12,0.19
85-86,0.26,0.16,0.27
86-87,0.35,0.22,0.29
87-88,0.38,0.24,0.39
88-89,0.50,0.26,0.44
89-90,0.55,0.29,0.44
90-91,0.59,0.39,0.49
91-92,0.60,0.47,0.83
92-93,0.65,0.57,0.70
93-94,0.70,0.67,0.85
94-95,0.76,0.73,0.88
95-96,0.78,0.74,0.86
96-97,0.84,0.80,1.00
97-98,0.91,0.83,1.09
98-99,1.00,0.89,1.03
99-00,1.07,0.91,1.11
00-01,1.07,0.92,1.03
01-02,1.18,1.01,0.94
02-03,1.23,1.16,0.98
03-04,1.29,1.39,1.22
04-05,1.35,1.57,1.35
05-06,1.39,1.66,1.38
06-07,1.44,1.70,1.38
07-08,1.50,1.82,1.35
08-09,1.51,1.84,1.31
09-10,1.66,2.11,1.55
10-11,1.73,2.32,1.69
11-12,1.74,2.47,1.81
12-13,1.81,2.58,1.93
13-14,1.87,2.61,1.97
14-15,1.92,2.64,1.99
15-16,2.01,2.74,2.04
16-17,2.10,2.81,2.07
17-18,2.15,2.86,2.11
18-19,2.16,2.85,2.10
